category,cart_items,abandonment_rate
5698,1327,47.1
3398,2786,52.7
156,231,57.1
1135,3951,60.8
5835,1859,65.9
6634,517,61.3
6356,2361,66.1
1096,7336,43.5
2914,2914,46.5
2964,2961,44.7
4134,1363,56.1
6902,1039,60.7
735,1126,51.9
6651,775,58.3
4068,1026,63.3
869,352,59.9
2663,1574,66.6
4174,763,58.8
5934,3594,59.7
6810,2283,59.5
5491,810,59.1
4448,1194,51.1
2325,262,56.9
875,851,57.9
4726,426,73.0
5195,864,59.8
6713,707,51.6
2044,350,60.9
1277,436,51.1
258,8544,57.8
2285,974,74.6
835,617,67.9
2178,1864,60.7
1183,410,58.8
4043,1654,62.9
3138,3169,72.5
441,552,66.7
304,883,54.7
1082,519,43.5
5830,1249,48.0
3048,376,57.4
6119,587,63.4
1467,333,67.0
3587,934,44.8
3407,820,59.1
3785,778,58.4
4225,288,56.9
1187,371,55.3
6765,457,59.5
4092,2351,49.7
5858,1146,47.4
619,851,70.9
1966,14664,51.6
46,718,66.4
419,2030,54.5
3266,791,65.7
5058,284,60.6
2274,478,56.5
995,368,72.0
6381,510,62.0
303,655,61.7
2096,296,41.6
6347,2526,69.2
4245,254,50.4
6272,413,45.8
2793,550,49.5
5742,738,49.7
416,696,69.0
1094,370,61.1
5925,408,44.4
4215,300,51.7
6432,2033,59.7
1732,2003,59.7
3051,273,59.7
2457,286,66.4
3126,216,54.2
2327,212,67.5
5402,556,45.5
652,272,60.3
949,1121,52.4
5151,377,61.0
1989,204,51.5
5298,475,49.1
1392,399,66.4
1790,305,65.2
241,310,74.2
3411,207,52.7
3666,211,54.5
1138,1003,51.0
5999,301,57.5
3760,843,64.2
683,384,66.7
1199,1424,61.2
6853,1143,62.3
3979,1741,58.7
6118,3580,52.5
57,257,51.4
1106,853,59.4
3397,527,57.3
1265,811,57.5
3715,357,67.5
1510,572,61.5
1786,781,59.8
3632,886,52.5
1413,482,67.6
2174,765,60.8
6404,556,59.7
5086,458,66.2
3623,500,63.8
1073,270,61.9
3357,431,65.2
5677,474,62.0
1587,361,58.7
1429,2223,55.8
6573,1981,63.8
4898,441,56.9
4143,285,46.7
5751,215,76.3
5152,381,54.6
496,558,64.0
2818,504,54.8
3207,1006,54.6
1742,209,49.3
4647,202,51.0
3181,414,53.4
2243,1918,65.0
3963,244,60.7
4354,1692,55.5
4072,1735,59.6
2479,546,54.8
2506,538,48.9
3165,1248,68.7
795,252,62.7
4753,777,68.3
1019,280,60.0
4671,325,46.5
4412,2025,62.5
4064,447,54.8
1357,399,58.1
2114,959,52.7
4787,307,64.8
3860,615,68.8
6257,625,48.8
1652,464,45.7
3727,273,58.2
6028,994,57.5
6297,336,50.3
6599,405,54.1
642,416,64.7
6395,236,64.8
985,1987,59.2
298,798,48.6
6167,557,52.2
2890,1874,53.7
5050,251,51.4
6344,226,53.5
154,247,44.1
2180,228,47.8
2142,433,69.7
604,1075,59.0
354,1484,78.2
739,234,61.1
1656,492,56.7
4279,434,66.4
1722,473,55.6
2644,594,54.7
77,249,64.7
4226,444,64.6
328,758,53.8
6192,457,59.5
1105,365,58.9
1847,1529,56.4
6084,291,63.9
2651,457,65.6
2433,214,60.3
3672,537,72.1
2150,634,65.0
4144,444,57.2
791,3637,71.5
37,2018,67.7
2931,427,57.6
1236,1230,66.3
1107,315,47.0
2738,440,56.8
2936,249,44.6
6658,804,56.3
5362,373,50.4
1919,535,54.8
4611,283,56.5
902,366,59.6
31,562,61.0
1162,718,63.8
1480,1016,54.9
1560,644,56.8
580,309,66.3
1014,1399,60.9
2882,241,59.3
3703,481,52.2
4588,570,53.0
613,439,53.8
4624,206,59.2
3173,270,65.9
4683,1042,57.0
2600,1369,55.8
2589,4292,64.3
1598,274,45.6
5770,481,53.2
807,265,49.4
2646,247,65.2
6031,740,58.8
1465,375,61.9
64,461,53.1
3738,399,63.9
3513,200,74.0
4814,1474,69.0
667,267,57.7
3825,622,45.8
2698,1827,53.9
1144,1379,75.1
1330,286,48.6
58,550,62.0
699,1384,64.0
406,520,58.7
6198,238,54.6
1582,527,44.8
2203,565,52.4
6823,1115,56.5
384,1254,53.2
1606,399,71.2
3638,418,60.0
2840,234,57.7
822,213,47.4
3262,280,52.5
2155,703,55.5
5549,496,55.4
3680,267,60.7
261,250,59.2
6679,415,67.2
5756,213,64.3
3517,585,52.5
1876,285,48.1
955,548,53.6
2419,456,58.3
164,699,54.9
4435,418,52.4
2542,492,50.4
194,421,51.5
262,730,75.1
1995,314,57.3
671,325,53.2
5510,1285,58.0
4807,232,58.6
1798,272,57.7
4452,425,60.9
2355,270,55.2
2888,791,53.2
6660,234,59.0
485,1276,57.0
6120,951,57.1
3499,379,60.2
1594,386,44.3
2394,563,67.1
408,350,47.7
4513,282,70.2
6567,652,58.1
4924,277,59.2
6466,613,60.7
4617,499,71.9
3107,207,49.8
632,1069,50.9
3073,530,74.7
6149,291,55.3
4278,1196,69.1
3679,1072,50.7
5299,475,47.4
3913,440,62.7
962,809,54.8
876,325,36.6
2213,253,35.2
5865,479,63.9
3931,307,52.4
4258,233,68.7
4445,217,53.9
780,317,43.5
2043,706,51.3
494,499,58.1
4642,277,51.6
1376,270,54.1
4679,340,45.0
6414,628,51.1
622,266,69.9
872,379,33.8
3238,362,57.2
4282,270,62.6
6456,311,60.8
4098,1073,69.3
1397,363,59.0
5604,1340,60.7
6701,288,63.5
5920,711,61.2
2909,600,53.8
5834,589,59.1
6046,447,50.8
1660,241,42.7
2598,958,54.8
127,211,54.5
5777,302,44.7
6714,1061,57.6
5764,241,58.5
3759,237,40.5
3704,564,54.1
1263,647,59.8
5840,1075,61.3
4870,365,59.2
1711,345,53.3
1832,231,68.0
3549,787,60.5
635,759,66.3
3035,358,47.5
1568,599,52.4
6123,351,46.2
341,296,60.8
4136,420,53.8
1440,348,60.6
337,451,47.9
3811,479,61.0
4057,293,67.9
6707,282,54.3
1339,201,52.7
301,297,55.9
5306,232,50.0
1090,703,59.7
1458,784,51.3
6825,223,46.6
363,325,58.2
1822,942,54.6
1011,377,54.6
1894,356,53.7
3534,238,58.0
3176,476,41.2
899,218,60.6
5976,1120,64.5
4077,417,55.2
1895,245,58.4
1118,258,65.9
4591,216,48.1
3006,280,35.7
3144,500,44.8
4444,1158,45.2
665,865,51.1
6196,700,46.0
692,208,45.7
4949,200,57.0
793,336,58.3
4044,281,43.8
27,269,49.4
4627,231,57.6
1665,591,48.4
2381,1005,49.7
302,221,64.3
4865,213,62.0
2584,300,68.3
659,296,43.9
3025,225,60.4
110,355,55.8
3001,357,56.3
6234,220,48.6
277,244,60.2
2537,279,62.7
4029,679,57.0
1461,219,67.6
5397,447,48.3
874,240,67.9
1,445,56.2
2836,509,54.8
2455,274,58.8
2476,269,55.4
4670,213,56.8
2411,340,52.4
4212,301,49.2
3016,224,54.5
559,298,49.0
6059,232,55.2
4356,367,75.5
3782,651,49.3
6586,208,50.0
483,206,51.9
4987,367,40.9
5804,233,58.8
2297,211,61.6
3863,208,39.4
1697,309,63.8
1048,222,49.5
5092,383,50.7
1111,412,85.2
4355,284,49.6
3246,267,70.0
5409,507,67.1
2386,296,52.7
2803,529,40.8
6012,355,49.0
5573,294,45.6
5062,348,54.3
6207,632,48.7
112,277,38.6
3792,633,54.8
1897,245,57.6
4242,543,57.5
5463,252,50.4
4430,246,52.8
5131,287,56.8
6489,283,68.9
3314,262,65.6
4220,282,48.9
4730,254,62.6
