cohort_month,months_since_first,active_users,pct_retained
2022-06-01,0,3206,100.0
2022-06-01,1,1304,40.7
2022-06-01,2,1107,34.5
2022-06-01,3,1057,33.0
2022-06-01,4,1078,33.6
2022-06-01,5,1066,33.3
2022-06-01,6,464,14.5
2022-07-01,0,11046,100.0
2022-07-01,1,3167,28.7
2022-07-01,2,2796,25.3
2022-07-01,3,2896,26.2
2022-07-01,4,2917,26.4
2022-07-01,5,1149,10.4
2022-08-01,0,8776,100.0
2022-08-01,1,2166,24.7
2022-08-01,2,2060,23.5
2022-08-01,3,2051,23.4
2022-08-01,4,771,8.8
2022-09-01,0,7759,100.0
2022-09-01,1,2184,28.1
2022-09-01,2,2024,26.1
2022-09-01,3,716,9.2
2022-10-01,0,7307,100.0
2022-10-01,1,2081,28.5
2022-10-01,2,667,9.1
2022-11-01,0,6922,100.0
2022-11-01,1,777,11.2
2022-12-01,0,1657,100.0
