event,next_event,n,pct_of_row
purchase,visit,98629,30.5
purchase,purchase,210620,65.2
purchase,search,8726,2.7
purchase,cart_add,3471,1.1
purchase,cart_remove,1757,0.5
visit,cart_add,463044,6.8
visit,visit,5553970,81.4
visit,purchase,77696,1.1
visit,search,629780,9.2
visit,cart_remove,97172,1.4
cart_add,visit,374908,59.0
cart_add,cart_add,136929,21.6
cart_add,cart_remove,48887,7.7
cart_add,search,54235,8.5
cart_add,purchase,20078,3.2
search,visit,692159,75.1
search,search,212011,23.0
search,cart_remove,4046,0.4
search,cart_add,11790,1.3
search,purchase,1534,0.2
cart_remove,visit,104792,35.4
cart_remove,cart_add,18876,6.4
cart_remove,cart_remove,144770,48.9
cart_remove,search,15378,5.2
cart_remove,purchase,12379,4.2
